Relatório de Ads de palavras-chave - Shopee Brazil
Nome de Usuário,borersuplementos
Data de Criação do Relatório,09/05/2024 01:16
Período,08/02/2024 - 08/05/2024
ID da Loja,300382311

#,Nome do Produto / Anúncio,Status,ID do produto,Tipos de Anúncios,Localização / Palavra-Chave,Data de Início,Data de Encerramento,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
23,13382569087,Encerrado,13382569087,Anúncio de Busca de Produtos,Tudo,08/08/2022 18:30,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
24,13382569087,Encerrado,13382569087,Anúncios Descoberta,Tudo,05/07/2023 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
25,Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncios Descoberta,Tudo,24/08/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
26,Termogênico THERMO MAX 60caps - 590mg BORECAPS,Pausado,19097516007,Anúncios Descoberta,Tudo,11/11/2023 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
27,Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncios Descoberta,Tudo,08/10/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
28,21898594896,Encerrado,21898594896,Anúncios Descoberta,Tudo,11/11/2023 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
29,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Pausado,19141843737,Anúncios Descoberta,Tudo,08/10/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
30,22192651357,Encerrado,22192651357,Anúncio de Busca de Produtos,Tudo,19/11/2023 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
31,NUTRASIM Colageno Hidrolisado 500mg + Vitamina C -Natus Green Qualidade BorerCaps,Pausado,19050012650,Anúncios Descoberta,Tudo,08/10/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
32,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncios Descoberta,Tudo,08/10/2022 00:00,Ilimitado,0,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
