Quantidade ,Nome do Produto / Anúncio,Status,ID do produto,Tipos de Anúncios,Localização / Palavra-Chave,Data de Início,Data de Encerramento,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
18,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,pés,5/12/23 0:00,Ilimitado,505,9,1.78%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.02,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
19,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,cuidado com as unhas,5/12/23 0:00,Ilimitado,297,6,2.02%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.67,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
20,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,anti micose unha,5/12/23 0:00,Ilimitado,2625,38,1.45%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,4.57,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
21,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,fungipro unha,5/12/23 0:00,Ilimitado,1180,24,2.03%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.82,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
22,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,anti micose de unhas,5/12/23 0:00,Ilimitado,4447,80,1.80%,3,3,3.75%,3.75%,3.22,3.22,3,3,167.79,167.79,9.67,17.35,17.35,5.76%,5.76%,N/A,N/A,N/A
23,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,podoneem oregon,5/12/23 0:00,Ilimitado,211,30,14.22%,4,4,13.33%,13.33%,0.85,0.85,4,4,223.72,223.72,3.40,65.8,65.8,1.52%,1.52%,N/A,N/A,N/A
24,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,onico plus,5/12/23 0:00,Ilimitado,11,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
25,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,fluconazol com terbinafina esmalte antimicótico 5ml,5/12/23 0:00,Ilimitado,1501,19,1.27%,1,1,5.26%,5.26%,2.35,2.35,1,1,55.93,55.93,2.35,23.8,23.8,4.20%,4.20%,N/A,N/A,N/A
26,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,podoneem creme,5/12/23 0:00,Ilimitado,60,2,3.33%,1,1,50.00%,50.00%,0.24,0.24,1,1,55.93,55.93,0.24,233.04,233.04,0.43%,0.43%,N/A,N/A,N/A
27,Podoneem 5 Em 1 Tratamento Para Unhas Com Fungos E Micose,Em andamento,20298501282,Anúncio de Busca de Produtos,micose no pé,5/12/23 0:00,Ilimitado,828,10,1.21%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.32,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
