Quantidade ,Nome do Produto / Anúncio,Status,ID do produto,Tipos de Anúncios,Localização / Palavra-Chave,Data de Início,Data de Encerramento,Impressão,Cliques,CTR,Conversões,Conversões Diretas,Taxa de Conversão,Taxa de Conversão Direta,Custo por Conversão,Custo por Conversão Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressões do Produto,Cliques de Produtos,CTR do Produto
85,SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,bariatrica em cápsulas,11/19/23 0:00,2/26/24 21:19,786,16,2.04%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.89,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
86,SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,emagrecedor natural,11/19/23 0:00,2/26/24 21:19,1295,35,2.70%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,4.13,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
87,SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,l triptofano,11/19/23 0:00,2/26/24 21:19,1585,28,1.77%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,3.24,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
88,SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,remédio natural para emagrecer,11/19/23 0:00,2/26/24 21:19,1405,43,3.06%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,5.06,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
89,SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,triptofano,11/19/23 0:00,2/26/24 21:19,1318,11,0.83%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.25,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
90,SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,bariatrica,11/19/23 0:00,2/26/24 21:19,553,4,0.72%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.45,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
91,SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,cápsulas para emagrecer,11/19/23 0:00,2/26/24 21:19,1449,28,1.93%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,3.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
92,SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,Selecionado automaticamente,11/19/23 0:00,2/26/24 21:19,3153,44,1.40%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,8.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
93,SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,remédio para emagrecer natural,11/19/23 0:00,2/26/24 21:19,1437,23,1.60%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.72,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
94,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,carnitina emagrecedor,10/8/22 0:00,Ilimitado,2399,55,2.29%,2,2,3.64%,3.64%,3.52,3.52,2,2,79.84,79.84,7.05,11.32,11.32,8.83%,8.83%,N/A,N/A,N/A
95,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,carnitina black,10/8/22 0:00,Ilimitado,658,11,1.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.46,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
96,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,carnitina growth,10/8/22 0:00,Ilimitado,460,7,1.52%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.79,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
97,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,carnitina 2000,10/8/22 0:00,Ilimitado,90,1,1.11%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.17,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
98,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,taurina 1000mg,10/8/22 0:00,Ilimitado,691,8,1.16%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.16,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
99,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,taurina,10/8/22 0:00,Ilimitado,191,5,2.62%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.61,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
100,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,tirosina 500mg,10/8/22 0:00,Ilimitado,1432,19,1.33%,1,1,5.26%,5.26%,2.78,2.78,1,1,39.92,39.92,2.78,14.36,14.36,6.96%,6.96%,N/A,N/A,N/A
101,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,fenilalanina,10/8/22 0:00,Ilimitado,93,2,2.15%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.32,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
102,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,taurine vitafor,10/8/22 0:00,Ilimitado,169,2,1.18%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.25,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
103,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,carnitina,10/8/22 0:00,Ilimitado,400,2,0.50%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.28,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
104,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,tirosinase,10/8/22 0:00,Ilimitado,42,3,7.14%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.36,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
105,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,taurina 500mg,10/8/22 0:00,Ilimitado,314,10,3.18%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
106,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,taurine,10/8/22 0:00,Ilimitado,141,4,2.84%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.48,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
107,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,carnitina cápsula,10/8/22 0:00,Ilimitado,339,3,0.88%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.40,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
108,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,taurina em pó,10/8/22 0:00,Ilimitado,235,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
109,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,carnitina líquida,10/8/22 0:00,Ilimitado,69,3,4.35%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.36,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
110,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,tirosina,10/8/22 0:00,Ilimitado,184,2,1.09%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.34,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
111,Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Em andamento,20041843213,Anúncio de Busca de Produtos,taurina e arginina,10/8/22 0:00,Ilimitado,711,12,1.69%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.39,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
112,21898594896,Encerrado,21898594896,Anúncio de Busca de Produtos,pro essence,9/23/23 0:00,Ilimitado,6861,87,1.27%,4,3,4.60%,3.45%,2.71,3.61,4,3,221.62,165.69,10.84,20.44,15.29,4.89%,6.54%,N/A,N/A,N/A
113,21898594896,Encerrado,21898594896,Anúncio de Busca de Produtos,proessence,9/23/23 0:00,Ilimitado,775,9,1.16%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.05,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
114,21898594896,Encerrado,21898594896,Anúncio de Busca de Produtos,anti micose,9/23/23 0:00,Ilimitado,32,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
115,21898594896,Encerrado,21898594896,Anúncio de Busca de Produtos,fungipro,9/23/23 0:00,Ilimitado,285,3,1.05%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.45,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
116,21898594896,Encerrado,21898594896,Anúncio de Busca de Produtos,podoneem,9/23/23 0:00,Ilimitado,293,31,10.58%,7,6,22.58%,19.35%,0.51,0.59,8,7,442.54,386.61,3.55,124.66,108.9,0.80%,0.92%,N/A,N/A,N/A
117,21898594896,Encerrado,21898594896,Anúncio de Busca de Produtos,podoneem 5 em 1,9/23/23 0:00,Ilimitado,262,25,9.54%,5,5,20.00%,20.00%,0.59,0.59,5,5,276.15,276.15,2.95,93.61,93.61,1.07%,1.07%,N/A,N/A,N/A
118,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,thermo max,10/8/22 0:00,Ilimitado,701,26,3.71%,5,4,19.23%,15.38%,0.63,0.79,5,4,384.73,349.80,3.14,122.53,111.4,0.82%,0.90%,N/A,N/A,N/A
119,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,creme termogenico,10/8/22 0:00,Ilimitado,193,4,2.07%,1,0,25.00%,0.00%,0.47,0.00,2,0,78.00,0.00,0.47,165.96,0.0,0.60%,0.00%,N/A,N/A,N/A
120,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,thermo abdomen,10/8/22 0:00,Ilimitado,362,4,1.10%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.48,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
121,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogenico emagrecedor,10/8/22 0:00,Ilimitado,761,17,2.23%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.06,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
122,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogênicos,10/8/22 0:00,Ilimitado,346,7,2.02%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.83,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
123,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogênico,10/8/22 0:00,Ilimitado,338,11,3.25%,3,3,27.27%,27.27%,0.45,0.45,3,3,269.85,269.85,1.35,199.89,199.89,0.50%,0.50%,N/A,N/A,N/A
124,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,suplementos termogênico,10/8/22 0:00,Ilimitado,363,12,3.31%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.44,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
125,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogênico max titanium,10/8/22 0:00,Ilimitado,203,11,5.42%,1,1,9.09%,9.09%,1.32,1.32,1,1,79.95,79.95,1.32,60.57,60.57,1.65%,1.65%,N/A,N/A,N/A
126,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,suplementos max,10/8/22 0:00,Ilimitado,153,8,5.23%,2,1,25.00%,12.50%,0.47,0.94,4,1,194.65,89.95,0.94,207.07,95.69,0.48%,1.05%,N/A,N/A,N/A
127,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,café termogênico,10/8/22 0:00,Ilimitado,139,3,2.16%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.36,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
128,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,3,10/8/22 0:00,Ilimitado,138,2,1.45%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
129,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogenicos,10/8/22 0:00,Ilimitado,157,5,3.18%,1,1,20.00%,20.00%,0.61,0.61,1,1,89.95,89.95,0.61,147.46,147.46,0.68%,0.68%,N/A,N/A,N/A
130,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogenico,10/8/22 0:00,Ilimitado,701,14,2.00%,2,2,14.29%,14.29%,0.86,0.86,2,2,179.90,179.90,1.72,104.59,104.59,0.96%,0.96%,N/A,N/A,N/A
131,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,kimera thermo,10/8/22 0:00,Ilimitado,336,8,2.38%,1,1,12.50%,12.50%,0.97,0.97,1,1,89.95,89.95,0.97,92.73,92.73,1.08%,1.08%,N/A,N/A,N/A
132,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,thermo,10/8/22 0:00,Ilimitado,676,12,1.78%,2,2,16.67%,16.67%,0.69,0.69,2,2,179.90,179.90,1.39,129.42,129.42,0.77%,0.77%,N/A,N/A,N/A
133,Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogênico max,10/8/22 0:00,Ilimitado,218,7,3.21%,1,0,14.29%,0.00%,0.80,0.00,1,0,29.45,0.00,0.80,36.81,0.0,2.72%,0.00%,N/A,N/A,N/A
134,20041843209,Encerrado,20041843209,Anúncio de Busca de Produtos,fenilalanina,10/8/22 0:00,Ilimitado,12,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
135,20041843209,Encerrado,20041843209,Anúncio de Busca de Produtos,cafeína e taurina,10/8/22 0:00,Ilimitado,88,1,1.14%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
136,20041843209,Encerrado,20041843209,Anúncio de Busca de Produtos,taurina e cafeína,10/8/22 0:00,Ilimitado,118,1,0.85%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
137,20041843209,Encerrado,20041843209,Anúncio de Busca de Produtos,tirosina,10/8/22 0:00,Ilimitado,53,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
138,20041843209,Encerrado,20041843209,Anúncio de Busca de Produtos,l carnitina black,10/8/22 0:00,Ilimitado,907,13,1.43%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.48,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
139,20041843209,Encerrado,20041843209,Anúncio de Busca de Produtos,cafeína,10/8/22 0:00,Ilimitado,414,2,0.48%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.23,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
140,20041843209,Encerrado,20041843209,Anúncio de Busca de Produtos,l carnitina,10/8/22 0:00,Ilimitado,43,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
141,20041843209,Encerrado,20041843209,Anúncio de Busca de Produtos,termogênico black,10/8/22 0:00,Ilimitado,790,25,3.16%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.85,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
142,20041843209,Encerrado,20041843209,Anúncio de Busca de Produtos,black termogenico,10/8/22 0:00,Ilimitado,398,5,1.26%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.62,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
143,20041843209,Encerrado,20041843209,Anúncio de Busca de Produtos,cafeina,10/8/22 0:00,Ilimitado,156,2,1.28%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
144,20041843209,Encerrado,20041843209,Anúncio de Busca de Produtos,cafeína 200mg,10/8/22 0:00,Ilimitado,1354,23,1.70%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.67,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
145,20041843209,Encerrado,20041843209,Anúncio de Busca de Produtos,taurina,10/8/22 0:00,Ilimitado,16,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
146,20041843209,Encerrado,20041843209,Anúncio de Busca de Produtos,tirosina 300mg,10/8/22 0:00,Ilimitado,73,1,1.37%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
147,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,tpm forever liss,10/8/22 0:00,Ilimitado,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
148,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,tpm 2 0,10/8/22 0:00,Ilimitado,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
149,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,infertilidade feminina,10/8/22 0:00,Ilimitado,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
150,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,oleo de primula 1000mg,10/8/22 0:00,Ilimitado,209,3,1.44%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.41,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
151,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,tpm reduxina,10/8/22 0:00,Ilimitado,3,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
152,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,cólica menstrual,10/8/22 0:00,Ilimitado,5,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
153,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,suplemento natural para menopausa,10/8/22 0:00,Ilimitado,15,1,6.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.14,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
154,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,amora branca original,10/8/22 0:00,Ilimitado,269,9,3.35%,1,1,11.11%,11.11%,1.15,1.15,1,1,29.90,29.90,1.15,26.0,26.0,3.85%,3.85%,N/A,N/A,N/A
155,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,óleo de prímula,10/8/22 0:00,Ilimitado,147,7,4.76%,1,1,14.29%,14.29%,0.93,0.93,1,1,29.90,29.90,0.93,32.15,32.15,3.11%,3.11%,N/A,N/A,N/A
156,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,amora branca cápsulas,10/8/22 0:00,Ilimitado,235,7,2.98%,1,1,14.29%,14.29%,0.86,0.86,1,1,29.90,29.90,0.86,34.77,34.77,2.88%,2.88%,N/A,N/A,N/A
157,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,saúde feminina,10/8/22 0:00,Ilimitado,37,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
158,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,menopausa calorao,10/8/22 0:00,Ilimitado,38,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
159,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,oleo de prímula,10/8/22 0:00,Ilimitado,146,3,2.05%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.39,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
160,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,amora branca,10/8/22 0:00,Ilimitado,335,11,3.28%,1,1,9.09%,9.09%,1.53,1.53,1,1,29.90,29.90,1.53,19.54,19.54,5.12%,5.12%,N/A,N/A,N/A
161,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,primula,10/8/22 0:00,Ilimitado,181,4,2.21%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.52,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
162,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,menopausa,10/8/22 0:00,Ilimitado,108,2,1.85%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.27,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
163,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,tpm,10/8/22 0:00,Ilimitado,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
164,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,dor menstrual,10/8/22 0:00,Ilimitado,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
165,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,amora branca em cápsulas,10/8/22 0:00,Ilimitado,87,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
166,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,menopausa suplemento,10/8/22 0:00,Ilimitado,62,1,1.61%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.12,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
167,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,menopausa remédio,10/8/22 0:00,Ilimitado,70,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
168,Kit Suplemento Em Cápsulas Amora Branca + Óleo De Prímula,Em andamento,20041843202,Anúncio de Busca de Produtos,menopausa precoce,10/8/22 0:00,Ilimitado,6,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
169,NUTRASIM Colageno Hidrolisado 500mg + Vitamina C -Natus Green Qualidade BorerCaps,Em andamento,19050012650,Anúncio de Busca de Produtos,Selecionado automaticamente,10/8/22 0:00,Ilimitado,1739,6,0.35%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.84,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
170,19141843731,Encerrado,19141843731,Anúncio de Busca de Produtos,kit emagrecimento doterra,10/8/22 0:00,Ilimitado,15,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
171,19141843731,Encerrado,19141843731,Anúncio de Busca de Produtos,redux emagrecedor,10/8/22 0:00,Ilimitado,28,1,3.57%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A
