Nome do Produto,Status,ID do produto,Tipos de Anuncios,localizacao-palavra-chave-dropdown,Data de Inicio,Data de Encerramento,Impressao,Cliques,CTR,Conversoes,Conversoes Diretas,Taxa de Conversao,Taxa de Conversao Direta,Custo por Conversao,Custo por Conversao Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressoes do Produto,Cliques de Produtos,CTR do Produto,Impressao por venda efetiva
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogênico growth,12/08/2022 00:00,Ilimitado,189,4,2.12%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.49,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogênico integralmedica,12/08/2022 00:00,Ilimitado,610,18,2.95%,1,1,5.56%,5.56%,2.14,2.14,1,1,39.00,39.00,2.14,18.22,18.22,5.49%,5.49%,N/A,N/A,N/A,610
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogenico emagrecedor,12/08/2022 00:00,Ilimitado,667,16,2.40%,2,2,12.50%,12.50%,0.98,0.98,2,2,78.00,78.00,1.96,39.8,39.8,2.51%,2.51%,N/A,N/A,N/A,334
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogênico black,12/08/2022 00:00,Ilimitado,353,7,1.98%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.85,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,hot termogenico,12/08/2022 00:00,Ilimitado,108,2,1.85%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogênico feminino,12/08/2022 00:00,Ilimitado,214,9,4.21%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,01.05,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogenico max,12/08/2022 00:00,Ilimitado,219,5,2.28%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.59,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,lipo 6 black importado,12/08/2022 00:00,Ilimitado,161,4,2.48%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.51,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,suplementos termogênico,12/08/2022 00:00,Ilimitado,1072,26,2.43%,1,1,3.85%,3.85%,03.05,03.05,1,1,39.00,39.00,03.05,12.79,12.79,7.82%,7.82%,N/A,N/A,N/A,1072
Suplemento Em Cápsulas Ultra Termogênico Thermo Phases Black -  1.200mg/dose 60cáps BorerCaps,Pausado,21222940131,Anúncio de Busca de Produtos,termogênico natural,12/08/2022 00:00,Ilimitado,60,2,3.33%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
