Nome do Produto,Status,ID do produto,Tipos de Anuncios,localizacao-palavra-chave-dropdown,Data de Inicio,Data de Encerramento,Impressao,Cliques,CTR,Conversoes,Conversoes Diretas,Taxa de Conversao,Taxa de Conversao Direta,Custo por Conversao,Custo por Conversao Direta,Itens Vendidos,Itens Vendidos Diretos,VBM,Receita direta,Despesas,ROAS,ROAS Direto,ACOS,ACOS Direto,Impressoes do Produto,Cliques de Produtos,CTR do Produto,Impressao por venda efetiva
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,cápsulas emagrecedora,26/07/2022 00:00,Ilimitado,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,queimador de gordura abdominal,26/07/2022 00:00,Ilimitado,29,1,3.45%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,termogenico,26/07/2022 00:00,Ilimitado,548,15,2.74%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.93,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,remédio emagrecedor,26/07/2022 00:00,Ilimitado,9,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,emagrecedor barriga,26/07/2022 00:00,Ilimitado,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,suplementos alimentares,26/07/2022 00:00,Ilimitado,247,4,1.62%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.50,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,suplemento emagrecer,26/07/2022 00:00,Ilimitado,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,queimador de gordura,26/07/2022 00:00,Ilimitado,2,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,pre treino,26/07/2022 00:00,Ilimitado,1426,12,0.84%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.61,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,power emagrecedor,26/07/2022 00:00,Ilimitado,1,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,max,26/07/2022 00:00,Ilimitado,8,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,emagrecedor,26/07/2022 00:00,Ilimitado,1071,13,1.21%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.54,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico Thermo Max 60 caps. - Borer Caps,Em andamento,14164354668,Anúncio de Busca de Produtos,suplementos,26/07/2022 00:00,Ilimitado,24,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,remédio natural para emagrecer,19/11/2023 00:00,26/02/2024 21:19,1235,40,3.24%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,4.71,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,remédio para emagrecer natural,19/11/2023 00:00,26/02/2024 21:19,1199,19,1.58%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.25,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,triptofano,19/11/2023 00:00,26/02/2024 21:19,1080,9,0.83%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,quitosana,19/11/2023 00:00,26/02/2024 21:19,1615,32,1.98%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,3.74,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,Selecionado automaticamente,19/11/2023 00:00,26/02/2024 21:19,2023,30,1.48%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,5.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,cápsulas para emagrecer,19/11/2023 00:00,26/02/2024 21:19,1225,25,2.04%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.89,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,bariatrica,19/11/2023 00:00,26/02/2024 21:19,424,3,0.71%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.33,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,bariatrica em cápsulas,19/11/2023 00:00,26/02/2024 21:19,667,14,2.10%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.63,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,emagrecedor natural,19/11/2023 00:00,26/02/2024 21:19,1138,34,2.99%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,04.02,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
SLINTT Intt Wellness - Suplemento de Quitosana + L-Triptofano + Cromo + Vitamica C - 60 cps de 1000mg,Encerrado,18797383990,Anúncio de Busca de Produtos,l triptofano,19/11/2023 00:00,26/02/2024 21:19,1248,20,1.60%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.30,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,carnitina,08/10/2022 00:00,Ilimitado,426,3,0.70%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.39,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,taurina e arginina,08/10/2022 00:00,Ilimitado,1400,21,1.50%,1,1,4.76%,4.76%,03.03,03.03,1,1,39.92,39.92,03.03,13.17,13.17,7.59%,7.59%,N/A,N/A,N/A,1400
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,carnitina 2000,08/10/2022 00:00,Ilimitado,122,1,0.82%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.17,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,carnitina emagrecedor,08/10/2022 00:00,Ilimitado,2294,52,2.27%,2,2,3.85%,3.85%,3.35,3.35,2,2,79.84,79.84,6.71,11.9,11.9,8.40%,8.40%,N/A,N/A,N/A,1147
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,taurina em pó,08/10/2022 00:00,Ilimitado,290,1,0.34%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.18,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,fenilalanina,08/10/2022 00:00,Ilimitado,109,2,1.83%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.32,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,carnitina cápsula,08/10/2022 00:00,Ilimitado,712,12,1.69%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,02.01,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,tirosina,08/10/2022 00:00,Ilimitado,195,2,1.03%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.34,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,taurina 1000mg,08/10/2022 00:00,Ilimitado,810,10,1.23%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.56,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,tirosinase,08/10/2022 00:00,Ilimitado,42,3,7.14%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.36,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,taurine vitafor,08/10/2022 00:00,Ilimitado,223,3,1.35%,1,1,33.33%,33.33%,0.36,0.36,1,1,39.92,39.92,0.36,110.89,110.89,0.90%,0.90%,N/A,N/A,N/A,223
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,carnitina black,08/10/2022 00:00,Ilimitado,833,16,1.92%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,02.01,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,carnitina growth,08/10/2022 00:00,Ilimitado,903,14,1.55%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,02.04,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,taurina 500mg,08/10/2022 00:00,Ilimitado,308,9,2.92%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,tirosina 500mg,08/10/2022 00:00,Ilimitado,1899,27,1.42%,1,1,3.70%,3.70%,4.20,4.20,1,1,39.92,39.92,4.20,9.5,9.5,10.52%,10.52%,N/A,N/A,N/A,1899
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,carnitina líquida,08/10/2022 00:00,Ilimitado,82,2,2.44%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.23,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,taurine,08/10/2022 00:00,Ilimitado,185,4,2.16%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.48,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Taurina,Pausado,20041843213,Anúncio de Busca de Produtos,taurina,08/10/2022 00:00,Ilimitado,199,4,2.01%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.54,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Podoneem Tratamento Anti micose,Encerrado,21898594896,Anúncio de Busca de Produtos,fungipro,23/09/2023 00:00,Ilimitado,199,2,1.01%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.31,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Podoneem Tratamento Anti micose,Encerrado,21898594896,Anúncio de Busca de Produtos,podoneem,23/09/2023 00:00,Ilimitado,247,28,11.34%,7,6,25.00%,21.43%,0.46,0.54,8,7,442.54,386.61,3.22,137.43,120.07,0.73%,0.83%,N/A,N/A,N/A,31
Podoneem Tratamento Anti micose,Encerrado,21898594896,Anúncio de Busca de Produtos,podoneem 5 em 1,23/09/2023 00:00,Ilimitado,203,20,9.85%,5,5,25.00%,25.00%,0.48,0.48,5,5,276.15,276.15,2.40,115.06,115.06,0.87%,0.87%,N/A,N/A,N/A,41
Podoneem Tratamento Anti micose,Encerrado,21898594896,Anúncio de Busca de Produtos,pro essence,23/09/2023 00:00,Ilimitado,5823,76,1.31%,4,3,5.26%,3.95%,2.35,3.14,4,3,221.62,165.69,9.42,23.53,17.59,4.25%,5.69%,N/A,N/A,N/A,1456
Podoneem Tratamento Anti micose,Encerrado,21898594896,Anúncio de Busca de Produtos,proessence,23/09/2023 00:00,Ilimitado,756,8,1.06%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.92,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Podoneem Tratamento Anti micose,Encerrado,21898594896,Anúncio de Busca de Produtos,anti micose,23/09/2023 00:00,Ilimitado,30,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,thermo,08/10/2022 00:00,Ilimitado,735,15,2.04%,2,2,13.33%,13.33%,0.89,0.89,2,2,179.90,179.90,1.78,101.07,101.07,0.99%,0.99%,N/A,N/A,N/A,368
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,creme termogenico,08/10/2022 00:00,Ilimitado,127,3,2.36%,1,0,33.33%,0.00%,0.35,0.00,2,0,78.00,0.00,0.35,222.86,0.0,0.45%,0.00%,N/A,N/A,N/A,64
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,3,08/10/2022 00:00,Ilimitado,184,2,1.09%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,suplementos max,08/10/2022 00:00,Ilimitado,176,8,4.55%,3,1,37.50%,12.50%,0.32,0.96,5,1,229.40,89.95,0.96,238.96,93.7,0.42%,1.07%,N/A,N/A,N/A,35
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,café termogênico,08/10/2022 00:00,Ilimitado,171,5,2.92%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.60,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,thermo max,08/10/2022 00:00,Ilimitado,557,26,4.67%,5,4,19.23%,15.38%,0.63,0.79,5,4,400.72,365.79,3.14,127.62,116.49,0.78%,0.86%,N/A,N/A,N/A,111
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogênico max titanium,08/10/2022 00:00,Ilimitado,245,11,4.49%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.26,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogenicos,08/10/2022 00:00,Ilimitado,183,6,3.28%,1,1,16.67%,16.67%,0.72,0.72,1,1,89.95,89.95,0.72,124.93,124.93,0.80%,0.80%,N/A,N/A,N/A,183
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,thermo abdomen,08/10/2022 00:00,Ilimitado,370,3,0.81%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.37,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,kimera thermo,08/10/2022 00:00,Ilimitado,413,12,2.91%,2,2,16.67%,16.67%,0.73,0.73,2,2,184.40,184.40,1.46,126.3,126.3,0.79%,0.79%,N/A,N/A,N/A,207
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,suplementos termogênico,08/10/2022 00:00,Ilimitado,381,15,3.94%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.84,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogênico,08/10/2022 00:00,Ilimitado,584,15,2.57%,4,3,26.67%,20.00%,0.46,0.62,4,3,308.85,269.85,1.85,166.95,145.86,0.60%,0.69%,N/A,N/A,N/A,146
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogenico,08/10/2022 00:00,Ilimitado,490,13,2.65%,2,2,15.38%,15.38%,0.79,0.79,2,2,179.90,179.90,1.57,114.59,114.59,0.87%,0.87%,N/A,N/A,N/A,245
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogenico emagrecedor,08/10/2022 00:00,Ilimitado,920,22,2.39%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.68,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogênicos,08/10/2022 00:00,Ilimitado,479,9,1.88%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,01.05,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Kit 3 Thermo Max Termomax Termogênico - Borercaps 180cáps,Em andamento,19141843737,Anúncio de Busca de Produtos,termogênico max,08/10/2022 00:00,Ilimitado,271,6,2.21%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.69,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncio de Busca de Produtos,tirosina,08/10/2022 00:00,Ilimitado,45,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncio de Busca de Produtos,black termogenico,08/10/2022 00:00,Ilimitado,393,5,1.27%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.62,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncio de Busca de Produtos,cafeína,08/10/2022 00:00,Ilimitado,335,2,0.60%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.23,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncio de Busca de Produtos,fenilalanina,08/10/2022 00:00,Ilimitado,10,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncio de Busca de Produtos,tirosina 300mg,08/10/2022 00:00,Ilimitado,73,1,1.37%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncio de Busca de Produtos,taurina,08/10/2022 00:00,Ilimitado,13,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncio de Busca de Produtos,termogênico black,08/10/2022 00:00,Ilimitado,739,24,3.25%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.71,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncio de Busca de Produtos,cafeína e taurina,08/10/2022 00:00,Ilimitado,68,1,1.47%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncio de Busca de Produtos,l carnitina,08/10/2022 00:00,Ilimitado,41,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncio de Busca de Produtos,cafeina,08/10/2022 00:00,Ilimitado,120,2,1.67%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.22,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncio de Busca de Produtos,l carnitina black,08/10/2022 00:00,Ilimitado,869,13,1.50%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,1.48,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncio de Busca de Produtos,taurina e cafeína,08/10/2022 00:00,Ilimitado,114,1,0.88%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.11,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Suplemento Em Cápsulas Thermo Phases Black C/ Cafeína,Pausado,20041843209,Anúncio de Busca de Produtos,cafeína 200mg,08/10/2022 00:00,Ilimitado,971,22,2.27%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,2.54,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,café termogênico,08/08/2022 18:30,Ilimitado,133,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,gordura,08/08/2022 18:30,Ilimitado,131,3,2.29%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.40,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,queimador,08/08/2022 18:30,Ilimitado,28,1,3.57%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.13,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,suplementos alimentares,08/08/2022 18:30,Ilimitado,53,0,0.00%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.00,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,cafeína termogênico,08/08/2022 18:30,Ilimitado,262,1,0.38%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.13,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,termogênico max,08/08/2022 18:30,Ilimitado,65,5,7.69%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.62,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
Termogênico  TERMOMAX Borer Caps 60 cápsulas 590mg - Suplemento Alimetar,Em andamento,12682583867,Anúncio de Busca de Produtos,adesivo emagrecedor para queima de gordura,08/08/2022 18:30,Ilimitado,401,3,0.75%,0,0,0.00%,0.00%,0.00,0.00,0,0,0.00,0.00,0.40,0.0,0.0,0.00%,0.00%,N/A,N/A,N/A,0
